zip,reportingyear,ziptype,cityname,statename,stateabbr,enc_zip,zcta_use
15663,2015,ZIP Code Area,Madison,NA,PA,15663,15663
15664,2015,Post Office or large volume customer,Mammoth,NA,PA,15666,15666
15665,2015,ZIP Code Area,Manor,NA,PA,15665,15665
15666,2015,ZIP Code Area,Mount Pleasant,NA,PA,15666,15666
15668,2015,ZIP Code Area,Murrysville,NA,PA,15668,15668
15670,2015,ZIP Code Area,New Alexandria,NA,PA,15670,15670
15671,2015,ZIP Code Area,New Derry,NA,PA,15671,15671
15672,2015,ZIP Code Area,New Stanton,NA,PA,15672,15672
15673,2015,Post Office or large volume customer,North Apollo,NA,PA,15613,15673
15674,2015,Post Office or large volume customer,Norvelt,NA,PA,15666,15666
15675,2015,ZIP Code Area,Penn,NA,PA,15675,15675
15676,2015,Post Office or large volume customer,Pleasant Unity,NA,PA,15601,15676
15677,2015,ZIP Code Area,Rector,NA,PA,15677,15677
15678,2015,ZIP Code Area,Rillton,NA,PA,15678,15678
15679,2015,ZIP Code Area,Ruffs Dale,NA,PA,15679,15679
15680,2015,Post Office or large volume customer,Salina,NA,PA,15618,15680
15681,2015,ZIP Code Area,Saltsburg,NA,PA,15681,15681
15682,2015,Post Office or large volume customer,Schenley,NA,PA,15656,15656
15683,2015,ZIP Code Area,Scottdale,NA,PA,15683,15683
15684,2015,ZIP Code Area,Slickville,NA,PA,15684,15684
15685,2015,Post Office or large volume customer,Southwest,NA,PA,15666,15666
15686,2015,ZIP Code Area,Spring Church,NA,PA,15686,15686
15687,2015,ZIP Code Area,Stahlstown,NA,PA,15687,15687
15688,2015,ZIP Code Area,Tarrs,NA,PA,15688,15688
15689,2015,Post Office or large volume customer,United,NA,PA,15666,15689
15690,2015,ZIP Code Area,Vandergrift,NA,PA,15690,15690
15691,2015,Post Office or large volume customer,Wendel,NA,PA,15601,15691
15692,2015,ZIP Code Area,Westmoreland City,NA,PA,15692,15692
15693,2015,Post Office or large volume customer,Whitney,NA,PA,15650,15693
15695,2015,Post Office or large volume customer,Wyano,NA,PA,15089,15695
15696,2015,Post Office or large volume customer,Youngstown,NA,PA,15650,15696
15697,2015,ZIP Code Area,Youngwood,NA,PA,15697,15697
15698,2015,ZIP Code Area,Yukon,NA,PA,15698,15698
15701,2015,ZIP Code Area,Indiana,NA,PA,15701,15701
15705,2015,ZIP Code Area,Indiana,NA,PA,15705,15701
15710,2015,Post Office or large volume customer,Alverda,NA,PA,15714,15710
15711,2015,ZIP Code Area,Anita,NA,PA,15711,15711
15712,2015,Post Office or large volume customer,Arcadia,NA,PA,15724,15712
15713,2015,ZIP Code Area,Aultman,NA,PA,15713,15713
15714,2015,ZIP Code Area,Northern Cambria,NA,PA,15714,15714
15715,2015,Post Office or large volume customer,Big Run,NA,PA,15767,15715
15716,2015,ZIP Code Area,Black Lick,NA,PA,15716,15716
15717,2015,ZIP Code Area,Blairsville,NA,PA,15717,15717
15720,2015,ZIP Code Area,Brush Valley,NA,PA,15720,15701
15721,2015,ZIP Code Area,Burnside,NA,PA,15721,15721
15722,2015,ZIP Code Area,Carrolltown,NA,PA,15722,15722
15723,2015,Post Office or large volume customer,Chambersville,NA,PA,15701,15723
15724,2015,ZIP Code Area,Cherry Tree,NA,PA,15724,15724
15725,2015,ZIP Code Area,Clarksburg,NA,PA,15725,15725
15727,2015,Post Office or large volume customer,Clune,NA,PA,15748,15727
15728,2015,ZIP Code Area,Clymer,NA,PA,15728,15728
15729,2015,ZIP Code Area,Commodore,NA,PA,15729,15729
15730,2015,ZIP Code Area,Coolspring,NA,PA,15730,15730
15731,2015,Post Office or large volume customer,Coral,NA,PA,15748,15731
15732,2015,ZIP Code Area,Creekside,NA,PA,15732,15732
15733,2015,Post Office or large volume customer,De Lancey,NA,PA,15767,15733
15734,2015,Post Office or large volume customer,Dixonville,NA,PA,15759,15734
15736,2015,Post Office or large volume customer,Elderton,NA,PA,15774,15736
15737,2015,Post Office or large volume customer,Elmora,NA,PA,15722,15737
15738,2015,Post Office or large volume customer,Emeigh,NA,PA,15724,15738
15739,2015,ZIP Code Area,Ernest,NA,PA,15739,15739
15741,2015,Post Office or large volume customer,Gipsy,NA,PA,15742,15741
15742,2015,ZIP Code Area,Glen Campbell,NA,PA,15742,15742
15744,2015,ZIP Code Area,Hamilton,NA,PA,15744,15744
15745,2015,Post Office or large volume customer,Heilwood,NA,PA,15728,15745
15746,2015,Post Office or large volume customer,Hillsdale,NA,PA,15724,15746
15747,2015,ZIP Code Area,Home,NA,PA,15747,15747
15748,2015,ZIP Code Area,Homer City,NA,PA,15748,15748
15750,2015,ZIP Code Area,Josephine,NA,PA,15750,15750
15752,2015,Post Office or large volume customer,Kent,NA,PA,15748,15752
15753,2015,ZIP Code Area,La Jose,NA,PA,15753,15753
15754,2015,Post Office or large volume customer,Lucernemines,NA,PA,15748,15754
15756,2015,Post Office or large volume customer,Mc Intyre,NA,PA,15774,15756
15757,2015,ZIP Code Area,Mahaffey,NA,PA,15757,15757
15758,2015,ZIP Code Area,Marchand,NA,PA,15758,15767
15759,2015,ZIP Code Area,Marion Center,NA,PA,15759,15759
15760,2015,ZIP Code Area,Marsteller,NA,PA,15760,15760
15761,2015,Post Office or large volume customer,Mentcle,NA,PA,15714,15761
15762,2015,ZIP Code Area,Nicktown,NA,PA,15762,15762
15763,2015,ZIP Code Area,Northpoint,NA,PA,15763,15767
15764,2015,Post Office or large volume customer,Oliveburg,NA,PA,15767,15764
15765,2015,ZIP Code Area,Penn Run,NA,PA,15765,15765
15767,2015,ZIP Code Area,Punxsutawney,NA,PA,15767,15767
15770,2015,ZIP Code Area,Ringgold,NA,PA,15770,15770
15771,2015,ZIP Code Area,Rochester Mills,NA,PA,15771,15771
15772,2015,ZIP Code Area,Rossiter,NA,PA,15772,15772
15773,2015,ZIP Code Area,Saint Benedict,NA,PA,15773,15773
15774,2015,ZIP Code Area,Shelocta,NA,PA,15774,15774
15775,2015,ZIP Code Area,Spangler,NA,PA,15775,15775
15776,2015,ZIP Code Area,Sprankle Mills,NA,PA,15776,15776
15777,2015,ZIP Code Area,Starford,NA,PA,15777,15777
15778,2015,ZIP Code Area,Timblin,NA,PA,15778,15778
15779,2015,Post Office or large volume customer,Torrance,NA,PA,15627,15779
15780,2015,ZIP Code Area,Valier,NA,PA,15780,15780
15781,2015,Post Office or large volume customer,Walston,NA,PA,15767,15781
15783,2015,Post Office or large volume customer,West Lebanon,NA,PA,15681,15783
15784,2015,ZIP Code Area,Worthville,NA,PA,15784,15784
15801,2015,ZIP Code Area,Du Bois,NA,PA,15801,15801
15821,2015,ZIP Code Area,Benezett,NA,PA,15821,15821
15822,2015,Post Office or large volume customer,Brandy Camp,NA,PA,15853,15853
15823,2015,ZIP Code Area,Brockport,NA,PA,15823,15823
15824,2015,ZIP Code Area,Brockway,NA,PA,15824,15824
15825,2015,ZIP Code Area,Brookville,NA,PA,15825,15825
15827,2015,ZIP Code Area,Byrnedale,NA,PA,15827,15827
15828,2015,ZIP Code Area,Clarington,NA,PA,15828,15828
15829,2015,ZIP Code Area,Corsica,NA,PA,15829,15829
15831,2015,Post Office or large volume customer,Dagus Mines,NA,PA,15846,15846
15832,2015,ZIP Code Area,Driftwood,NA,PA,15832,15832
15834,2015,ZIP Code Area,Emporium,NA,PA,15834,15834
15840,2015,ZIP Code Area,Falls Creek,NA,PA,15840,15840
15841,2015,Post Office or large volume customer,Force,NA,PA,15868,15841
15845,2015,ZIP Code Area,Johnsonburg,NA,PA,15845,15845
15846,2015,ZIP Code Area,Kersey,NA,PA,15846,15846
15847,2015,Post Office or large volume customer,Knox Dale,NA,PA,15825,15847
15848,2015,ZIP Code Area,Luthersburg,NA,PA,15848,15848
15849,2015,ZIP Code Area,Penfield,NA,PA,15849,15849
15851,2015,ZIP Code Area,Reynoldsville,NA,PA,15851,15851
15853,2015,ZIP Code Area,Ridgway,NA,PA,15853,15853
15856,2015,ZIP Code Area,Rockton,NA,PA,15856,15856
15857,2015,ZIP Code Area,Saint Marys,NA,PA,15857,15857
15860,2015,ZIP Code Area,Sigel,NA,PA,15860,15860
15861,2015,ZIP Code Area,Sinnamahoning,NA,PA,15861,15861
15863,2015,Post Office or large volume customer,Stump Creek,NA,PA,15851,15863
15864,2015,ZIP Code Area,Summerville,NA,PA,15864,15864
15865,2015,ZIP Code Area,Sykesville,NA,PA,15865,15865
15866,2015,ZIP Code Area,Troutville,NA,PA,15866,15866
15868,2015,ZIP Code Area,Weedville,NA,PA,15868,15868
15870,2015,ZIP Code Area,Wilcox,NA,PA,15870,15870
15901,2015,ZIP Code Area,Johnstown,NA,PA,15901,15901
15902,2015,ZIP Code Area,Johnstown,NA,PA,15902,15902
15904,2015,ZIP Code Area,Johnstown,NA,PA,15904,15904
15905,2015,ZIP Code Area,Johnstown,NA,PA,15905,15905
15906,2015,ZIP Code Area,Johnstown,NA,PA,15906,15906
15907,2015,Post Office or large volume customer,Johnstown,NA,PA,15901,15901
15909,2015,ZIP Code Area,Johnstown,NA,PA,15909,15909
15915,2015,Post Office or large volume customer,Johnstown,NA,PA,15901,15901
15920,2015,ZIP Code Area,Armagh,NA,PA,15920,15920
15921,2015,Post Office or large volume customer,Beaverdale,NA,PA,15955,15921
15922,2015,Post Office or large volume customer,Belsano,NA,PA,15931,15922
15923,2015,ZIP Code Area,Bolivar,NA,PA,15923,15923
15924,2015,ZIP Code Area,Cairnbrook,NA,PA,15924,15924
15925,2015,Post Office or large volume customer,Cassandra,NA,PA,15938,15925
15926,2015,ZIP Code Area,Central City,NA,PA,15926,15926
15927,2015,ZIP Code Area,Colver,NA,PA,15927,15927
15928,2015,ZIP Code Area,Davidsville,NA,PA,15928,15928
15929,2015,Post Office or large volume customer,Dilltown,NA,PA,15748,15929
15930,2015,Post Office or large volume customer,Dunlo,NA,PA,15963,15930
15931,2015,ZIP Code Area,Ebensburg,NA,PA,15931,15931
15934,2015,Post Office or large volume customer,Elton,NA,PA,15963,15934
15935,2015,ZIP Code Area,Hollsopple,NA,PA,15935,15935
15936,2015,ZIP Code Area,Hooversville,NA,PA,15936,15936
15937,2015,Post Office or large volume customer,Jerome,NA,PA,15935,15937
15938,2015,ZIP Code Area,Lilly,NA,PA,15938,15938
15940,2015,ZIP Code Area,Loretto,NA,PA,15940,15940
15942,2015,ZIP Code Area,Mineral Point,NA,PA,15942,15942
15943,2015,ZIP Code Area,Nanty Glo,NA,PA,15943,15943
15944,2015,ZIP Code Area,New Florence,NA,PA,15944,15944
15945,2015,ZIP Code Area,Parkhill,NA,PA,15945,15945
15946,2015,ZIP Code Area,Portage,NA,PA,15946,15946
15948,2015,Post Office or large volume customer,Revloc,NA,PA,15931,15948
15949,2015,ZIP Code Area,Robinson,NA,PA,15949,15949
15951,2015,ZIP Code Area,Saint Michael,NA,PA,15951,15951
15952,2015,ZIP Code Area,Salix,NA,PA,15952,15952
15953,2015,ZIP Code Area,Seanor,NA,PA,15953,15953
15954,2015,ZIP Code Area,Seward,NA,PA,15954,15954
15955,2015,ZIP Code Area,Sidman,NA,PA,15955,15955
15956,2015,ZIP Code Area,South Fork,NA,PA,15956,15956
15957,2015,ZIP Code Area,Strongstown,NA,PA,15957,15957
15958,2015,ZIP Code Area,Summerhill,NA,PA,15958,15958
15959,2015,Post Office or large volume customer,Tire Hill,NA,PA,15904,15904
15960,2015,ZIP Code Area,Twin Rocks,NA,PA,15960,15960
15961,2015,ZIP Code Area,Vintondale,NA,PA,15961,15961
15962,2015,Post Office or large volume customer,Wilmore,NA,PA,15946,15962
15963,2015,ZIP Code Area,Windber,NA,PA,15963,15963
16001,2015,ZIP Code Area,Butler,NA,PA,16001,16001
16002,2015,ZIP Code Area,Butler,NA,PA,16002,16002
16003,2015,Post Office or large volume customer,Butler,NA,PA,16001,16001
16016,2015,Post Office or large volume customer,Boyers,NA,PA,16061,16061
16017,2015,Post Office or large volume customer,Boyers,NA,PA,16061,16061
16018,2015,Post Office or large volume customer,Boyers,NA,PA,16020,16020
16020,2015,ZIP Code Area,Boyers,NA,PA,16020,16020
16021,2015,Post Office or large volume customer,Branchton,NA,PA,16038,16038
16022,2015,ZIP Code Area,Bruin,NA,PA,16022,16022
16023,2015,ZIP Code Area,Cabot,NA,PA,16023,16023
16024,2015,Post Office or large volume customer,Callery,NA,PA,16033,16024
16025,2015,ZIP Code Area,Chicora,NA,PA,16025,16025
16027,2015,Post Office or large volume customer,Connoquenessing,NA,PA,16033,16027
16028,2015,ZIP Code Area,East Brady,NA,PA,16028,16028
16029,2015,Post Office or large volume customer,East Butler,NA,PA,16001,16029
16030,2015,ZIP Code Area,Eau Claire,NA,PA,16030,16030
16033,2015,ZIP Code Area,Evans City,NA,PA,16033,16033
16034,2015,ZIP Code Area,Fenelton,NA,PA,16034,16034
16035,2015,Post Office or large volume customer,Forestville,NA,PA,16038,16035
16036,2015,ZIP Code Area,Foxburg,NA,PA,16036,16036
16037,2015,ZIP Code Area,Harmony,NA,PA,16037,16037
16038,2015,ZIP Code Area,Harrisville,NA,PA,16038,16038
16039,2015,Post Office or large volume customer,Herman,NA,PA,16001,16001
16040,2015,ZIP Code Area,Hilliards,NA,PA,16040,16040
16041,2015,ZIP Code Area,Karns City,NA,PA,16041,16041
16045,2015,ZIP Code Area,Lyndora,NA,PA,16045,16045
16046,2015,ZIP Code Area,Mars,NA,PA,16046,16046
16048,2015,Post Office or large volume customer,North Washington,NA,PA,16050,16048
16049,2015,ZIP Code Area,Parker,NA,PA,16049,16049
16050,2015,ZIP Code Area,Petrolia,NA,PA,16050,16050
16051,2015,ZIP Code Area,Portersville,NA,PA,16051,16051
16052,2015,ZIP Code Area,Prospect,NA,PA,16052,16052
16053,2015,ZIP Code Area,Renfrew,NA,PA,16053,16053
16054,2015,Post Office or large volume customer,Saint Petersburg,NA,PA,16036,16054
16055,2015,ZIP Code Area,Sarver,NA,PA,16055,16055
16056,2015,ZIP Code Area,Saxonburg,NA,PA,16056,16056
16057,2015,ZIP Code Area,Slippery Rock,NA,PA,16057,16057
16058,2015,Post Office or large volume customer,Turkey City,NA,PA,16373,16373
16059,2015,ZIP Code Area,Valencia,NA,PA,16059,16059
16061,2015,ZIP Code Area,West Sunbury,NA,PA,16061,16061
16063,2015,ZIP Code Area,Zelienople,NA,PA,16063,16063
16066,2015,ZIP Code Area,Cranberry Township,NA,PA,16066,16066
16101,2015,ZIP Code Area,New Castle,NA,PA,16101,16101
16102,2015,ZIP Code Area,New Castle,NA,PA,16102,16102
16103,2015,Post Office or large volume customer,New Castle,NA,PA,16101,16101
16105,2015,ZIP Code Area,New Castle,NA,PA,16105,16105
16107,2015,Post Office or large volume customer,New Castle,NA,PA,16101,16101
16108,2015,Post Office or large volume customer,New Castle,NA,PA,16101,16101
16110,2015,ZIP Code Area,Adamsville,NA,PA,16110,16110
16111,2015,ZIP Code Area,Atlantic,NA,PA,16111,16111
16112,2015,ZIP Code Area,Bessemer,NA,PA,16112,16112
16113,2015,Post Office or large volume customer,Clark,NA,PA,16125,16113
16114,2015,ZIP Code Area,Clarks Mills,NA,PA,16114,16114
16115,2015,ZIP Code Area,Darlington,NA,PA,16115,16115
16116,2015,ZIP Code Area,Edinburg,NA,PA,16116,16116
16117,2015,ZIP Code Area,Ellwood City,NA,PA,16117,16117
16120,2015,ZIP Code Area,Enon Valley,NA,PA,16120,16120
16121,2015,ZIP Code Area,Farrell,NA,PA,16121,16121
16123,2015,ZIP Code Area,Fombell,NA,PA,16123,16123
16124,2015,ZIP Code Area,Fredonia,NA,PA,16124,16124
16125,2015,ZIP Code Area,Greenville,NA,PA,16125,16125
16127,2015,ZIP Code Area,Grove City,NA,PA,16127,16127
16130,2015,ZIP Code Area,Hadley,NA,PA,16130,16130
16131,2015,ZIP Code Area,Hartstown,NA,PA,16131,16131
16132,2015,Post Office or large volume customer,Hillsville,NA,PA,16116,16132
16133,2015,ZIP Code Area,Jackson Center,NA,PA,16133,16133
16134,2015,ZIP Code Area,Jamestown,NA,PA,16134,16134
16136,2015,Post Office or large volume customer,Koppel,NA,PA,15010,16136
16137,2015,ZIP Code Area,Mercer,NA,PA,16137,16137
16140,2015,Post Office or large volume customer,New Bedford,NA,PA,16143,16140
16141,2015,ZIP Code Area,New Galilee,NA,PA,16141,16141
16142,2015,ZIP Code Area,New Wilmington,NA,PA,16142,16142
16143,2015,ZIP Code Area,Pulaski,NA,PA,16143,16143
16145,2015,ZIP Code Area,Sandy Lake,NA,PA,16145,16145
16146,2015,ZIP Code Area,Sharon,NA,PA,16146,16146
16148,2015,ZIP Code Area,Hermitage,NA,PA,16148,16148
16150,2015,ZIP Code Area,Sharpsville,NA,PA,16150,16150
16151,2015,Post Office or large volume customer,Sheakleyville,NA,PA,16130,16151
16153,2015,ZIP Code Area,Stoneboro,NA,PA,16153,16153
16154,2015,ZIP Code Area,Transfer,NA,PA,16154,16154
16155,2015,Post Office or large volume customer,Villa Maria,NA,PA,16143,16155
16156,2015,ZIP Code Area,Volant,NA,PA,16156,16156
16157,2015,ZIP Code Area,Wampum,NA,PA,16157,16157
16159,2015,ZIP Code Area,West Middlesex,NA,PA,16159,16159
16160,2015,Post Office or large volume customer,West Pittsburg,NA,PA,16157,16160
16161,2015,Post Office or large volume customer,Wheatland,NA,PA,16121,16161
16172,2015,ZIP Code Area,New Wilmington,NA,PA,16172,16142
16201,2015,ZIP Code Area,Kittanning,NA,PA,16201,16201
16210,2015,ZIP Code Area,Adrian,NA,PA,16210,16210
16211,2015,Post Office or large volume customer,Beyer,NA,PA,15747,16211
16212,2015,ZIP Code Area,Cadogan,NA,PA,16212,16212
16213,2015,ZIP Code Area,Callensburg,NA,PA,16213,16213
16214,2015,ZIP Code Area,Clarion,NA,PA,16214,16214
16217,2015,ZIP Code Area,Cooksburg,NA,PA,16217,16217
16218,2015,ZIP Code Area,Cowansville,NA,PA,16218,16218
16220,2015,Post Office or large volume customer,Crown,NA,PA,16233,16233
16221,2015,Post Office or large volume customer,Curllsville,NA,PA,16255,16255
16222,2015,ZIP Code Area,Dayton,NA,PA,16222,16222
16223,2015,Post Office or large volume customer,Distant,NA,PA,16242,16223
16224,2015,ZIP Code Area,Fairmount City,NA,PA,16224,16224
16225,2015,ZIP Code Area,Fisher,NA,PA,16225,16258
16226,2015,ZIP Code Area,Ford City,NA,PA,16226,16226
16228,2015,ZIP Code Area,Ford Cliff,NA,PA,16228,16228
16229,2015,ZIP Code Area,Freeport,NA,PA,16229,16229
16230,2015,Post Office or large volume customer,Hawthorn,NA,PA,16224,16230
16232,2015,ZIP Code Area,Knox,NA,PA,16232,16232
16233,2015,ZIP Code Area,Leeper,NA,PA,16233,16233
16234,2015,ZIP Code Area,Limestone,NA,PA,16234,16224
16235,2015,ZIP Code Area,Lucinda,NA,PA,16235,16235
16236,2015,Post Office or large volume customer,Mc Grann,NA,PA,16226,16236
16238,2015,ZIP Code Area,Manorville,NA,PA,16238,16238
16239,2015,ZIP Code Area,Marienville,NA,PA,16239,16239
16240,2015,ZIP Code Area,Mayport,NA,PA,16240,16240
16242,2015,ZIP Code Area,New Bethlehem,NA,PA,16242,16242
16244,2015,Post Office or large volume customer,Nu Mine,NA,PA,16249,16244
16245,2015,Post Office or large volume customer,Oak Ridge,NA,PA,16242,16245
16246,2015,Post Office or large volume customer,Plumville,NA,PA,15747,16246
16248,2015,ZIP Code Area,Rimersburg,NA,PA,16248,16248
16249,2015,ZIP Code Area,Rural Valley,NA,PA,16249,16249
16250,2015,Post Office or large volume customer,Sagamore,NA,PA,16249,16250
16253,2015,ZIP Code Area,Seminole,NA,PA,16253,16253
16254,2015,ZIP Code Area,Shippenville,NA,PA,16254,16254
16255,2015,ZIP Code Area,Sligo,NA,PA,16255,16255
16256,2015,ZIP Code Area,Smicksburg,NA,PA,16256,16256
16257,2015,Post Office or large volume customer,Snydersburg,NA,PA,16235,16235
16258,2015,ZIP Code Area,Strattanville,NA,PA,16258,16258
16259,2015,ZIP Code Area,Templeton,NA,PA,16259,16259
16260,2015,ZIP Code Area,Vowinckel,NA,PA,16260,16260
16261,2015,Post Office or large volume customer,Widnoon,NA,PA,16259,16259
16262,2015,ZIP Code Area,Worthington,NA,PA,16262,16262
16263,2015,Post Office or large volume customer,Yatesboro,NA,PA,16249,16263
16301,2015,ZIP Code Area,Oil City,NA,PA,16301,16301
16311,2015,ZIP Code Area,Carlton,NA,PA,16311,16311
16312,2015,Post Office or large volume customer,Chandlers Valley,NA,PA,16350,16312
16313,2015,ZIP Code Area,Clarendon,NA,PA,16313,16313
16314,2015,ZIP Code Area,Cochranton,NA,PA,16314,16314
16316,2015,ZIP Code Area,Conneaut Lake,NA,PA,16316,16316
16317,2015,ZIP Code Area,Cooperstown,NA,PA,16317,16317
16319,2015,ZIP Code Area,Cranberry,NA,PA,16319,16319
16321,2015,ZIP Code Area,East Hickory,NA,PA,16321,16321
16322,2015,Post Office or large volume customer,Endeavor,NA,PA,16353,16322
16323,2015,ZIP Code Area,Franklin,NA,PA,16323,16323
16326,2015,ZIP Code Area,Fryburg,NA,PA,16326,16326
16327,2015,ZIP Code Area,Guys Mills,NA,PA,16327,16327
16328,2015,Post Office or large volume customer,Hydetown,NA,PA,16354,16328
16329,2015,ZIP Code Area,Irvine,NA,PA,16329,16329
16331,2015,ZIP Code Area,Kossuth,NA,PA,16331,16331
16332,2015,ZIP Code Area,Lickingville,NA,PA,16332,16332
16333,2015,ZIP Code Area,Ludlow,NA,PA,16333,16333
16334,2015,ZIP Code Area,Marble,NA,PA,16334,16334
16335,2015,ZIP Code Area,Meadville,NA,PA,16335,16335
16340,2015,ZIP Code Area,Pittsfield,NA,PA,16340,16340
16341,2015,ZIP Code Area,Pleasantville,NA,PA,16341,16341
16342,2015,ZIP Code Area,Polk,NA,PA,16342,16342
16343,2015,Post Office or large volume customer,Reno,NA,PA,16301,16343
16344,2015,Post Office or large volume customer,Rouseville,NA,PA,16301,16344
16345,2015,ZIP Code Area,Russell,NA,PA,16345,16345
16346,2015,ZIP Code Area,Seneca,NA,PA,16346,16346
16347,2015,ZIP Code Area,Sheffield,NA,PA,16347,16347
16350,2015,ZIP Code Area,Sugar Grove,NA,PA,16350,16350
16351,2015,ZIP Code Area,Tidioute,NA,PA,16351,16351
16352,2015,Post Office or large volume customer,Tiona,NA,PA,16365,16352
16353,2015,ZIP Code Area,Tionesta,NA,PA,16353,16353
16354,2015,ZIP Code Area,Titusville,NA,PA,16354,16354
16360,2015,ZIP Code Area,Townville,NA,PA,16360,16360
16361,2015,Post Office or large volume customer,Tylersburg,NA,PA,16233,16361
16362,2015,ZIP Code Area,Utica,NA,PA,16362,16362
16364,2015,ZIP Code Area,Venus,NA,PA,16364,16364
16365,2015,ZIP Code Area,Warren,NA,PA,16365,16365
16366,2015,Post Office or large volume customer,Warren,NA,PA,16365,16365
16367,2015,Post Office or large volume customer,Warren,NA,PA,16365,16365
16368,2015,Post Office or large volume customer,Warren,NA,PA,16365,16365
16369,2015,Post Office or large volume customer,Warren,NA,PA,16365,16365
16370,2015,Post Office or large volume customer,West Hickory,NA,PA,16351,16370
16371,2015,ZIP Code Area,Youngsville,NA,PA,16371,16371
16372,2015,ZIP Code Area,Clintonville,NA,PA,16372,16372
16373,2015,ZIP Code Area,Emlenton,NA,PA,16373,16373
16374,2015,ZIP Code Area,Kennerdell,NA,PA,16374,16374
16375,2015,Post Office or large volume customer,Lamartine,NA,PA,16232,16232
16388,2015,Post Office or large volume customer,Meadville,NA,PA,16335,16335
16401,2015,ZIP Code Area,Albion,NA,PA,16401,16401
16402,2015,ZIP Code Area,Bear Lake,NA,PA,16402,16402
16403,2015,ZIP Code Area,Cambridge Springs,NA,PA,16403,16403
16404,2015,ZIP Code Area,Centerville,NA,PA,16404,16404
16405,2015,ZIP Code Area,Columbus,NA,PA,16405,16405
16406,2015,ZIP Code Area,Conneautville,NA,PA,16406,16406
16407,2015,ZIP Code Area,Corry,NA,PA,16407,16407
16410,2015,ZIP Code Area,Cranesville,NA,PA,16410,16410
16411,2015,ZIP Code Area,East Springfield,NA,PA,16411,16411
16412,2015,ZIP Code Area,Edinboro,NA,PA,16412,16412
16413,2015,Post Office or large volume customer,Elgin,NA,PA,16407,16407
16415,2015,ZIP Code Area,Fairview,NA,PA,16415,16415
16416,2015,Post Office or large volume customer,Garland,NA,PA,16340,16416
16417,2015,ZIP Code Area,Girard,NA,PA,16417,16417
16420,2015,ZIP Code Area,Grand Valley,NA,PA,16420,16420
16421,2015,ZIP Code Area,Harborcreek,NA,PA,16421,16421
16422,2015,Post Office or large volume customer,Harmonsburg,NA,PA,16316,16422
16423,2015,ZIP Code Area,Lake City,NA,PA,16423,16423
16424,2015,ZIP Code Area,Linesville,NA,PA,16424,16424
16426,2015,ZIP Code Area,Mc Kean,NA,PA,16426,16426
16427,2015,Post Office or large volume customer,Mill Village,NA,PA,16441,16427
16428,2015,ZIP Code Area,North East,NA,PA,16428,16428
16430,2015,ZIP Code Area,North Springfield,NA,PA,16430,16411
16432,2015,Post Office or large volume customer,Riceville,NA,PA,16404,16404
16433,2015,ZIP Code Area,Saegertown,NA,PA,16433,16433
16434,2015,ZIP Code Area,Spartansburg,NA,PA,16434,16434
16435,2015,ZIP Code Area,Springboro,NA,PA,16435,16435
16436,2015,ZIP Code Area,Spring Creek,NA,PA,16436,16436
16438,2015,ZIP Code Area,Union City,NA,PA,16438,16438
16440,2015,ZIP Code Area,Venango,NA,PA,16440,16440
16441,2015,ZIP Code Area,Waterford,NA,PA,16441,16441
16442,2015,ZIP Code Area,Wattsburg,NA,PA,16442,16442
16443,2015,ZIP Code Area,West Springfield,NA,PA,16443,16443
16444,2015,ZIP Code Area,Edinboro,NA,PA,16444,16444
16475,2015,Post Office or large volume customer,Albion,NA,PA,16401,16401
16501,2015,ZIP Code Area,Erie,NA,PA,16501,16501
16502,2015,ZIP Code Area,Erie,NA,PA,16502,16502
16503,2015,ZIP Code Area,Erie,NA,PA,16503,16503
16504,2015,ZIP Code Area,Erie,NA,PA,16504,16504
16505,2015,ZIP Code Area,Erie,NA,PA,16505,16505
16506,2015,ZIP Code Area,Erie,NA,PA,16506,16506
16507,2015,ZIP Code Area,Erie,NA,PA,16507,16507
16508,2015,ZIP Code Area,Erie,NA,PA,16508,16508
16509,2015,ZIP Code Area,Erie,NA,PA,16509,16509
16510,2015,ZIP Code Area,Erie,NA,PA,16510,16510
16511,2015,ZIP Code Area,Erie,NA,PA,16511,16511
16512,2015,Post Office or large volume customer,Erie,NA,PA,16501,16501
16514,2015,Post Office or large volume customer,Erie,NA,PA,16510,16510
16515,2015,Post Office or large volume customer,Erie,NA,PA,16510,16510
16522,2015,Post Office or large volume customer,Erie,NA,PA,16501,16501
16530,2015,Post Office or large volume customer,Erie,NA,PA,16501,16501
16531,2015,Post Office or large volume customer,Erie,NA,PA,16511,16511
16534,2015,Post Office or large volume customer,Erie,NA,PA,16501,16501
16538,2015,Post Office or large volume customer,Erie,NA,PA,16501,16501
16541,2015,Post Office or large volume customer,Erie,NA,PA,16507,16507
16544,2015,Post Office or large volume customer,Erie,NA,PA,16510,16510
16546,2015,Post Office or large volume customer,Erie,NA,PA,16504,16546
16550,2015,Post Office or large volume customer,Erie,NA,PA,16507,16507
16553,2015,Post Office or large volume customer,Erie,NA,PA,16501,16501
16563,2015,Post Office or large volume customer,Erie,NA,PA,16510,16563
16565,2015,ZIP Code Area,Erie,NA,PA,16565,16509
16601,2015,ZIP Code Area,Altoona,NA,PA,16601,16601
16602,2015,ZIP Code Area,Altoona,NA,PA,16602,16602
16603,2015,Post Office or large volume customer,Altoona,NA,PA,16601,16601
16611,2015,ZIP Code Area,Alexandria,NA,PA,16611,16611
16613,2015,ZIP Code Area,Ashville,NA,PA,16613,16613
