zip,reportingyear,ziptype,cityname,statename,stateabbr,enc_zip,zcta_use
00772,2015,ZIP Code Area,Loiza,NA,PR,00772,00772
00773,2015,ZIP Code Area,Luquillo,NA,PR,00773,00773
00775,2015,ZIP Code Area,Culebra,NA,PR,00775,00775
00777,2015,ZIP Code Area,Juncos,NA,PR,00777,00777
00778,2015,ZIP Code Area,Gurabo,NA,PR,00778,00778
00780,2015,ZIP Code Area,Coto Laurel,NA,PR,00780,00780
00782,2015,ZIP Code Area,Comerio,NA,PR,00782,00782
00783,2015,ZIP Code Area,Corozal,NA,PR,00783,00783
00784,2015,ZIP Code Area,Guayama,NA,PR,00784,00784
00785,2015,Post Office or large volume customer,Guayama,NA,PR,00784,00784
00786,2015,Post Office or large volume customer,La Plata,NA,PR,00705,00786
00791,2015,ZIP Code Area,Humacao,NA,PR,00791,00791
00792,2015,Post Office or large volume customer,Humacao,NA,PR,00791,00791
00794,2015,ZIP Code Area,Barranquitas,NA,PR,00794,00794
00795,2015,ZIP Code Area,Juana Diaz,NA,PR,00795,00795
00801,2015,Post Office or large volume customer,St Thomas,NA,VI,00802,00801
00802,2015,ZIP Code Area,St Thomas,NA,VI,00802,00802
00803,2015,Post Office or large volume customer,St Thomas,NA,VI,00802,00802
00804,2015,Post Office or large volume customer,St Thomas,NA,VI,00802,00802
00805,2015,Post Office or large volume customer,St Thomas,NA,VI,00802,00802
00820,2015,ZIP Code Area,Christiansted,NA,VI,00820,00820
00821,2015,Post Office or large volume customer,Christiansted,NA,VI,00820,00820
00822,2015,Post Office or large volume customer,Christiansted,NA,VI,00820,00820
00823,2015,Post Office or large volume customer,Christiansted,NA,VI,00820,00823
00824,2015,Post Office or large volume customer,Christiansted,NA,VI,00820,00824
00830,2015,ZIP Code Area,St John,NA,VI,00830,00830
00831,2015,Post Office or large volume customer,St John,NA,VI,00830,00831
00840,2015,ZIP Code Area,Frederiksted,NA,VI,00840,00840
00841,2015,Post Office or large volume customer,Frederiksted,NA,VI,00840,00841
00850,2015,ZIP Code Area,Kingshill,NA,VI,00850,00850
00851,2015,Post Office or large volume customer,Kingshill,NA,VI,00850,00851
00901,2015,ZIP Code Area,San Juan,NA,PR,00901,00901
00902,2015,Post Office or large volume customer,San Juan,NA,PR,00901,00901
00906,2015,Post Office or large volume customer,San Juan,NA,PR,00901,00906
00907,2015,ZIP Code Area,San Juan,NA,PR,00907,00907
00908,2015,Post Office or large volume customer,San Juan,NA,PR,00907,00907
00909,2015,ZIP Code Area,San Juan,NA,PR,00909,00909
00910,2015,Post Office or large volume customer,San Juan,NA,PR,00909,00909
00911,2015,ZIP Code Area,San Juan,NA,PR,00911,00911
00912,2015,ZIP Code Area,San Juan,NA,PR,00912,00912
00913,2015,ZIP Code Area,San Juan,NA,PR,00913,00913
00914,2015,Post Office or large volume customer,San Juan,NA,PR,00911,00911
00915,2015,ZIP Code Area,San Juan,NA,PR,00915,00915
00916,2015,Post Office or large volume customer,San Juan,NA,PR,00915,00915
00917,2015,ZIP Code Area,San Juan,NA,PR,00917,00917
00918,2015,ZIP Code Area,San Juan,NA,PR,00918,00918
00919,2015,Post Office or large volume customer,San Juan,NA,PR,00918,00918
00920,2015,ZIP Code Area,San Juan,NA,PR,00920,00920
00921,2015,ZIP Code Area,San Juan,NA,PR,00921,00921
00922,2015,Post Office or large volume customer,San Juan,NA,PR,00968,00968
00923,2015,ZIP Code Area,San Juan,NA,PR,00923,00923
00924,2015,ZIP Code Area,San Juan,NA,PR,00924,00924
00925,2015,ZIP Code Area,San Juan,NA,PR,00925,00925
00926,2015,ZIP Code Area,San Juan,NA,PR,00926,00926
00927,2015,ZIP Code Area,San Juan,NA,PR,00927,00927
00928,2015,Post Office or large volume customer,San Juan,NA,PR,00925,00925
00929,2015,Post Office or large volume customer,San Juan,NA,PR,00924,00924
00930,2015,Post Office or large volume customer,San Juan,NA,PR,00923,00923
00931,2015,Post Office or large volume customer,San Juan,NA,PR,00925,00925
00933,2015,Post Office or large volume customer,San Juan,NA,PR,00918,00918
00934,2015,ZIP Code Area,Fort Buchanan,NA,PR,00934,00934
00935,2015,Post Office or large volume customer,San Juan,NA,PR,00921,00921
00936,2015,Post Office or large volume customer,San Juan,NA,PR,00918,00936
00937,2015,Post Office or large volume customer,San Juan,NA,PR,00979,00979
00939,2015,Post Office or large volume customer,San Juan,NA,PR,00918,00918
00940,2015,Post Office or large volume customer,San Juan,NA,PR,00909,00909
00949,2015,ZIP Code Area,Toa Baja,NA,PR,00949,00949
00950,2015,Post Office or large volume customer,Toa Baja,NA,PR,00953,00950
00951,2015,Post Office or large volume customer,Toa Baja,NA,PR,00953,00951
00952,2015,ZIP Code Area,Sabana Seca,NA,PR,00952,00952
00953,2015,ZIP Code Area,Toa Alta,NA,PR,00953,00953
00954,2015,Post Office or large volume customer,Toa Alta,NA,PR,00953,00953
00955,2015,Post Office or large volume customer,San Juan,NA,PR,00921,00921
00956,2015,ZIP Code Area,Bayamon,NA,PR,00956,00956
00957,2015,ZIP Code Area,Bayamon,NA,PR,00957,00957
00958,2015,Post Office or large volume customer,Bayamon,NA,PR,00957,00957
00959,2015,ZIP Code Area,Bayamon,NA,PR,00959,00959
00960,2015,Post Office or large volume customer,Bayamon,NA,PR,00959,00960
00961,2015,ZIP Code Area,Bayamon,NA,PR,00961,00961
00962,2015,ZIP Code Area,Catano,NA,PR,00962,00962
00963,2015,Post Office or large volume customer,Catano,NA,PR,00962,00962
00965,2015,ZIP Code Area,Guaynabo,NA,PR,00965,00965
00966,2015,ZIP Code Area,Guaynabo,NA,PR,00966,00966
00968,2015,ZIP Code Area,Guaynabo,NA,PR,00968,00968
00969,2015,ZIP Code Area,Guaynabo,NA,PR,00969,00969
00970,2015,Post Office or large volume customer,Guaynabo,NA,PR,00969,00969
00971,2015,Post Office or large volume customer,Guaynabo,NA,PR,00969,00971
00975,2015,Post Office or large volume customer,San Juan,NA,PR,00917,00917
00976,2015,ZIP Code Area,Trujillo Alto,NA,PR,00976,00976
00977,2015,Post Office or large volume customer,Trujillo Alto,NA,PR,00976,00976
00978,2015,Post Office or large volume customer,Saint Just,NA,PR,00976,00976
00979,2015,ZIP Code Area,Carolina,NA,PR,00979,00979
00981,2015,Post Office or large volume customer,Carolina,NA,PR,00979,00979
00982,2015,ZIP Code Area,Carolina,NA,PR,00982,00982
00983,2015,ZIP Code Area,Carolina,NA,PR,00983,00983
00984,2015,Post Office or large volume customer,Carolina,NA,PR,00983,00983
00985,2015,ZIP Code Area,Carolina,NA,PR,00985,00985
00986,2015,Post Office or large volume customer,Carolina,NA,PR,00985,00985
00987,2015,ZIP Code Area,Carolina,NA,PR,00987,00987
00988,2015,Post Office or large volume customer,Carolina,NA,PR,00982,00982
01001,2015,ZIP Code Area,Agawam,NA,MA,01001,01001
01002,2015,ZIP Code Area,Amherst,NA,MA,01002,01002
01003,2015,ZIP Code Area,Amherst,NA,MA,01003,01003
01004,2015,Post Office or large volume customer,Amherst,NA,MA,01002,01002
01005,2015,ZIP Code Area,Barre,NA,MA,01005,01005
01007,2015,ZIP Code Area,Belchertown,NA,MA,01007,01007
01008,2015,ZIP Code Area,Blandford,NA,MA,01008,01008
01009,2015,Post Office or large volume customer,Bondsville,NA,MA,01069,01009
01010,2015,ZIP Code Area,Brimfield,NA,MA,01010,01010
01011,2015,ZIP Code Area,Chester,NA,MA,01011,01011
01012,2015,ZIP Code Area,Chesterfield,NA,MA,01012,01012
01013,2015,ZIP Code Area,Chicopee,NA,MA,01013,01013
